BO;Attribute;ARM Element;Source;Rules;Reference path;notes
AxisPlacement;;Axis_placement;442;;;
;AxisPlacement to LengthMeasure (as axis);PATH;;;"Axis_placement.axis ->
Direction.direction_ratios";
;dim;NO MAPPING;;;;
;AxisPlacement to LengthMeasure (as position);PATH;;;"Axis_placement.location ->
Direction.direction_ratios";
;AxisPlacement to LengthMeasure (as refDirection);PATH;;;"Axis_placement.ref_direction ->
Direction.direction_ratios";
CartesianPoint;;Cartesian_point;442;;;
;CartesianPoint to LengthMeasure (as coordinates);Cartesian_point.coordinates;;;;
;dim;NO MAPPING;;;;
CartesianTransformation;;"alternate map #1
Cartesian_transformation_2d
alternate map #2
Cartesian_transformation_3d";;;;
;dim;NO MAPPING;;;;
;"CartesianTransformation to LengthMeasure (as rotationMatrix[1],[1])";PATH;;;"alternate map #1
Cartesian_transformation_2d.multiplication_matrix[1] ->
Direction.direction_ratios[1]
alternate map #2
Cartesian_transformation_3d.multiplication_matrix[1] ->
Direction.direction_ratios[1]";
;"CartesianTransformation to LengthMeasure (as rotationMatrix[1],[2])";PATH;;;"alternate map #1
Cartesian_transformation_2d.multiplication_matrix[1] ->
Direction.direction_ratios[2]
alternate map #2
Cartesian_transformation_3d.multiplication_matrix[1] ->
Direction.direction_ratios[2]";
;"CartesianTransformation to LengthMeasure (as rotationMatrix[1],[3])";PATH;;;"alternate map #2
Cartesian_transformation_3d.multiplication_matrix[1] ->
Direction.direction_ratios[3]";
;"CartesianTransformation to LengthMeasure (as rotationMatrix[2],[1])";PATH;;;"alternate map #1
Cartesian_transformation_2d.multiplication_matrix[2] ->
Direction.direction_ratios[1]
alternate map #2
Cartesian_transformation_3d.multiplication_matrix[2] ->
Direction.direction_ratios[1]";
;"CartesianTransformation to LengthMeasure (as rotationMatrix[2],[2])";PATH;;;"alternate map #1
Cartesian_transformation_2d.multiplication_matrix[2] ->
Direction.direction_ratios[2]
alternate map #2
Cartesian_transformation_3d.multiplication_matrix[2] ->
Direction.direction_ratios[2]";
;"CartesianTransformation to LengthMeasure (as rotationMatrix[2],[3])";PATH;;;"alternate map #2
Cartesian_transformation_3d.multiplication_matrix[2] ->
Direction.direction_ratios[3]";
;"CartesianTransformation to LengthMeasure (as rotationMatrix[3],[1])";PATH;;;"alternate map #2
Cartesian_transformation_3d.multiplication_matrix[3] ->
Direction.direction_ratios[1]";
;"CartesianTransformation to LengthMeasure (as rotationMatrix[3],[2])";PATH;;;"alternate map #2
Cartesian_transformation_3d.multiplication_matrix[3] ->
Direction.direction_ratios[2]";
;"CartesianTransformation to LengthMeasure (as rotationMatrix[3],[3])";PATH;;;"alternate map #2
Cartesian_transformation_3d.multiplication_matrix[3] ->
Direction.direction_ratios[3]";
;scale;bug 4925;;;;
;CartesianTransformation to LengthMeasure (as translationVector[1]);PATH;;;"alternate map #1
Cartesian_transformation_2d.translation ->
Cartesian_point.coordinates[1]
alternate map #2
Cartesian_transformation_3d.translation ->
Cartesian_point.coordinates[1]";
;CartesianTransformation to LengthMeasure (as translationVector[2]);PATH;;;"alternate map #1
Cartesian_transformation_2d.translation ->
Cartesian_point.coordinates[2]
alternate map #2
Cartesian_transformation_3d.translation ->
Cartesian_point.coordinates[2]";
;CartesianTransformation to LengthMeasure (as translationVector[3]);PATH;;;"alternate map #2
Cartesian_transformation_3d.translation ->
Cartesian_point.coordinates[3]";
DetailedGeometricModelItem;;Detailed_geometric_model_element;;;;
Direction;;Direction;;;;
;dim;NO MAPPING;;;;
;Direction to LengthMeasure (as directionRatios);Direction.direction_ratios;;;;
ExternalItem;;External_item_identification;442;;;
;ExternalItem to CharacterString (as description);External_item_identification.external_id;;;;
;ExternalItem to Descriptor (as description);NO MAPPING;;;;
;ExternalItem to DescriptorSet (as description);NO MAPPING;;;;
;ExternalItem to LocalizedString (as description);PATH;;;"{External_item_identification
string_select = External_item_identification
string_select <-
Language_indication.considered_instance
Language_indication
Language_indication.considered_attribute='description'}"
;ExternalItem to TranslatedStringSet (as description);PATH;;;"{External_item_identification
string_select = External_item_identification
string_select <-
Attribute_translation_assignment.considered_instance
Attribute_translation_assignment
Attribute_translation_assignment.considered_attribute='description'}"
;ExternalItem to Identifier (as id);NO MAPPING;;;
;ExternalItem to IdentifierString (as id);PATH;;;"External_item_identification <=
External_source_identification.source_id"
;ExternalItem to DigitalFile (as source);PATH;;;"External_item_identification <=
External_source_identification.item ->
external_identification_item = File"
;ExternalItem to Document (as source);;;;"External_item_identification <=
External_source_identification.item ->
external_identification_item = Document"
;ExternalItem to Identifier (as source);NO MAPPING;;;
;ExternalItem to IdentifierSet (as source);NO MAPPING;;;
;ExternalItem to IdentifierString (as source);NO MAPPING;;;
ExternalRepresentationItem;;NO MAPPING;;;
;ExternalRepresentationItem to ExternalItem (as external);NO MAPPING;;;
GeometricCoordinateSpace;;Geometric_coordinate_space;442;;;
;GeometricCoordinateSpace to MeasureQualification (as accuracies);PATH;;;
;dimensionCount;Geometric_coordinate_space.dimension_count;;;
;GeometricCoordinateSpace to Identifier (as id);NO MAPPING;;;
;GeometricCoordinateSpace to IdentifierSet (as id);NO MAPPING;;;
;GeometricCoordinateSpace to IdentifierString (as id);;;;"Geometric_coordinate_space <=
Numerical_representation_context <=
Representation_context.id"
;GeometricCoordinateSpace to Unit (as units);PATH;;;"Geometric_coordinate_space.units ->
Unit"
Point;;Point;442;;;
RepresentationItem;;Representation_item;442;;;
;RepresentationItem to ExternalItem (as external);NO MAPPING;;;
;RepresentationItem to CharacterString (as name);Representation_item.name;;;
;RepresentationItem to Descriptor (as name);NO MAPPING;;;
;RepresentationItem to DescriptorSet (as name);NO MAPPING;;;
;RepresentationItem to LocalizedString (as name);waiting on string_select update;;;"{Representation_item
string_select = Representation_item
string_select <-
Language_indication.considered_instance
Language_indication
Language_indication.considered_attribute='name'}"
;RepresentationItem to TranslatedStringSet (as name);waiting on string_select update;;;"{Representation_item
string_select = Representation_item
string_select <-
Attribute_translation_assignment.considered_instance
Attribute_translation_assignment
Attribute_translation_assignment.considered_attribute='name'}"