Signature;Definition;
classifiedAs_AS_Classification(XXX);"classification_item = &XXX
classification_item <-
Classification_assignment[i].items[1]
Classification_assignment";
description_AS_Descriptor(XXX);"assigned_name_select = &XXX
assigned_name_select <-
Name_assignment.items[1]
Name_assignment
{Name_assignment.role = 'description'}";
description_AS_DescriptorSet(XXX );"assigned_name_select = &XXX
assigned_name_select <-
Name_assignment[i].items[1]
Name_assignment[i]
{Name_assignment[i].role = 'description'}";
description_AS_LocalizedString(XXX);"string_select = &XXX
string_select <-
Attribute_translation_assignment.considered_instance
Attribute_translation_assignment
{Attribute_translation_assignment.considered_attribute='description'}";
description_AS_TranslatedStringSet(XXX);"string_select = &XXX
string_select <-
Attribute_translation_assignment[i].considered_instance
Attribute_translation_assignment[i]
{Attribute_translation_assignment[i].considered_attribute='description'}";
purpose_AS_LocalizedString(XXX);"string_select = &XXX
string_select <-
Attribute_translation_assignment.considered_instance
Attribute_translation_assignment
{Attribute_translation_assignment.considered_attribute='purpose'}";
purpose_AS_TranslatedStringSet(XXX);"string_select = &XXX
string_select <-
Attribute_translation_assignment[i].considered_instance
Attribute_translation_assignment[i]
{Attribute_translation_assignment[i].considered_attribute='purpose'}";
id_AS_Identifier(XXX);"identification_item = &XXX
identification_item <-
Identification_assignment.items[1]
Identification_assignment
{Identification_assignment.role = 'id'}";
id_AS_IdentifierSet(XXX);"identification_item = &XXX
identification_item <-
Identification_assignment[i].items[1]
Identification_assignment[i]
{Identification_assignment.role = 'id'}";
versionId_AS_Identifier(XXX);"identification_item = &XXX
identification_item <-
Identification_assignment.items[1]
Identification_assignment
{Identification_assignment.role = 'version id'}";
versionId_AS_IdentifierSet(XXX);"identification_item = &XXX
identification_item <-
Identification_assignment[i].items[1]
Identification_assignment[i]
{Identification_assignment.role = 'version id'}";
locationIndicator_AS_Identifier(XXX);"identification_item = &XXX
identification_item <-
Identification_assignment.items[1]
Identification_assignment
{Identification_assignment.role = 'location indicator'}";
locationIndicator_AS_IdentifierSet(XXX);"identification_item = &XXX
identification_item <-
Identification_assignment[i].items[1]
Identification_assignment[i]
{Identification_assignment.role = 'location indicator'}";
name_AS_Descriptor(XXX);"assigned_name_select = &XXX
assigned_name_select <-
Name_assignment.items
Name_assignment
{Name_assignment.role = 'name'}";
name_AS_DescriptorSet(XXX);"assigned_name_select = &XXX
assigned_name_select <-
Name_assignment[i].items
Name_assignment[i]
{Name_assignment[i].role = 'name'}";
name_AS_LocalizedString(XXX);"string_select = &XXX
string_select <-
Attribute_translation_assignment.considered_instance
Attribute_translation_assignment
{Attribute_translation_assignment.considered_attribute='name'}";
name_AS_TranslatedStringSet(XXX);"string_select = &XXX
string_select <-
Attribute_translation_assignment[i].considered_instance
Attribute_translation_assignment[i]
{Attribute_translation_assignment[i].considered_attribute='name'}";
sameAs_AS_ExternalItem(XXX);"external_identification_item = &XXX
external_identification_item <-
External_source_identification.item
{External_source_identification.source_type = 'same as'}
External_source_identification =>
External_item_identification";
sameAs_AS_ExternalOWLObject(XXX);"same_as_item = &XXX
same_as_item <-
Same_as_external_item.items[i]
Same_as_external_item
{Same_as_external_item.role = 'same as'}
{Same_as_external_item.description = 'external owl object'}";
sameAs_AS_Proxy(XXX);"same_as_item = &XXX
same_as_item <-
Same_as_external_item.items[i]
Same_as_external_item
{Same_as_external_item.role = 'same as'}
{Same_as_external_item.description = 'proxy'}";
sameAs_AS_ProxyString(XXX);"assigned_name_select = &XXX
assigned_name_select <-
Name_assignment.items
Name_assignment
{Name_assignment.role = 'same as'}";
relationTyp_AS_Class(XXX);"classification_item = &XXX
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = 'relation type'}
Classification_assignment.assigned_class ->
Class";deprecated, use TYPEINFO_AS_...
relationType_AS_ExternalClass(XXX);"classification_item = &XXX
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = 'relation type'}
Classification_assignment.assigned_class ->
Class =>
External_class";deprecated, use TYPEINFO_AS_...
relationType_AS_ExternalOwlClass(XXX);"classification_item = &XXX
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = 'relation type'}
Classification_assignment.assigned_class ->
Class =>
External_class
{External_class <-
Classification_assignment.items[1]
Classification_assignment
Classification_assignment.assigned_class ->
Class
Class.id = 'external owl class'}";deprecated, use TYPEINFO_AS_...
role_AS_Class(XXX);"classification_item = &XXX
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = 'role'}
Classification_assignment.assigned_class ->
Class";deprecated, use TYPEINFO_AS_...
role_AS_ExternalClass(XXX);"classification_item = &XXX
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = 'role'}
Classification_assignment.assigned_class ->
Class =>
External_class";deprecated, use TYPEINFO_AS_...
role_AS_ExternalOwlClass(XXX);"classification_item = &XXX
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = 'role'}
Classification_assignment.assigned_class ->
Class =>
External_class
{External_class <-
Classification_assignment.items[1]
Classification_assignment
Classification_assignment.assigned_class ->
Class
Class.id = 'external owl class'}";deprecated, use TYPEINFO_AS_...
TYPEINFO_AS_Class(XXX, YYY);"classification_item = &XXX
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = &YYY}
Classification_assignment.assigned_class ->
Class";
TYPEINFO_AS_ExternalClass(XXX, YYY);"classification_item = &XXX
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = &YYY}
Classification_assignment.assigned_class ->
Class =>
External_class";
TYPEINFO_AS_ExternalOwlClass(XXX, YYY);"classification_item = &XXX
classification_item <-
Classification_assignment.items[i]
Classification_assignment
{Classification_assignment.role = &YYY}
Classification_assignment.assigned_class ->
Class =>
External_class
{External_class <-
Classification_assignment.items[1]
Classification_assignment
Classification_assignment.assigned_class ->
Class
Class.id = 'external owl class'}";
lifeCycleStage_AS_Externaltem(XXX);"external_identification_item = &XXX
external_identification_item <-
External_source_identification.item
{External_source_identification.source_type = 'life cycle stage'}
External_source_identification =>
External_item_identification";
lifeCycleStage_AS_ExternalOwlObject(XXX);"same_as_item = &XXX
same_as_item <-
Same_as_external_item.items[i]
Same_as_external_item
{Same_as_external_item.role = 'life cycle stage'}
{Same_as_external_item.description = 'external owl object'}";
lifeCycleStage_AS_Proxy(XXX);"same_as_item = &XXX
same_as_item <-
Same_as_external_item.items[i]
Same_as_external_item
{Same_as_external_item.role = 'life cycle stage'}
{Same_as_external_item.description = 'proxy'}";
applicationDomain_AS_Externaltem(XXX);"external_identification_item = &XXX
external_identification_item <-
External_source_identification.item
{External_source_identification.source_type = 'application domain'}
External_source_identification =>
External_item_identification";
applicationDomain_AS_ExternalOwlObject(XXX);"same_as_item = &XXX
same_as_item <-
Same_as_external_item.items[i]
Same_as_external_item
{Same_as_external_item.role = 'application domain'}
{Same_as_external_item.description = 'external owl object'}";
applicationDomain_AS_Proxy(XXX);"same_as_item = &XXX
same_as_item <-
Same_as_external_item.items[i]
Same_as_external_item
{Same_as_external_item.role = 'application domain'}
{Same_as_external_item.description = 'proxy'}";
assigned_Organization(XXX, YYY);"&XXX <-
organization_or_person_in_organization_item = &XXX <-
Organization_or_person_in_organization_assignment.items[i]
Organization_or_person_in_organization_assignment
{Organization_or_person_in_organization_assignment.role = &YYY}
Organization_or_person_in_organization_assignment.assigned_entity  ->
organization_or_person_in_organization_select
organization_or_person_in_organization_select = Organization
Organization";
effectivityContext_AS_Externaltem(XXX);"external_identification_item = &XXX
external_identification_item <-
External_source_identification.item
{External_source_identification.source_type = 'effectivity context'}
External_source_identification =>
External_item_identification";
effectivityContext_AS_ExternalOwlObject(XXX);"same_as_item = &XXX
same_as_item <-
Same_as_external_item.items[i]
Same_as_external_item
{Same_as_external_item.role = 'effectivity context'}
{Same_as_external_item.description = 'external owl object'}";
effectivityContext_AS_Proxy(XXX);"same_as_item = &XXX
same_as_item <-
Same_as_external_item.items[i]
Same_as_external_item
{Same_as_external_item.role = 'effectivity context'}
{Same_as_external_item.description = 'proxy'}";
Effectivity_assignment(XXX);"#1: (Effectivity_assignment
Effectivity_assignment.items[i] ->
effectivity_item
effectivity_item = MAPPING_OF(&XXX)
MAPPING_OF(&XXX))
#2: (Ineffectivity_assignment
Ineffectivity_assignment.items[i] ->
effectivity_item
effectivity_item = MAPPING_OF(&XXX)
MAPPING_OF(&XXX))";
number_AS_Identifier(XXX,YYY);"identification_item = &XXX
identification_item <-
Identification_assignment.items[1]
Identification_assignment
{Identification_assignment.role = &YYY}";
number_AS_IdentifierSet(XXX,YYY);"identification_item = &XXX
identification_item <-
Identification_assignment[i].items[1]
Identification_assignment[i]
{Identification_assignment.role = &YYY}";
Condition_assignment(XXX);"Condition_assignment
Condition_assignment.item ->
condition_item
condition_item = MAPPING_OF(&XXX)
MAPPING_OF(&XXX)";
